Date, AAL Open, AAPL Open, AMZN Open, BAC Open, DAL Open, HMC Open, JNJ Open, JPM Open, LLY Open, LUV Open, MSFT Open, TM Open, TSLA Open, UNH Open, V Open
4/1/2014,36.950001,19.205713,16.904499,17.280001,34.93,35.27,98.309998,60.950001,59.130001,23.73,41.150002,112.949997,13.934667,82.349998,54.27
5/1/2014,35.860001,21.142857,15.2065,15.14,37,33.560001,100.769997,55.919998,59.18,24.17,40.240002,110.019997,13.805333,75.050003,51.025002
6/1/2014,40,22.64143,15.6295,15.16,40.139999,35.279999,101.540001,55.650002,59.75,26.48,40.950001,114.120003,13.822,79.769997,53.842499
7/1/2014,43.439999,23.379999,16.292999,15.38,39,35.060001,105.150002,57.150002,62.630001,27.18,41.860001,121.43,16.164,81.739998,52.987499
8/1/2014,38.75,23.725,15.6845,15.18,37.380001,34.93,99.760002,57.389999,61.009998,28.209999,43.209999,117.709999,15.072667,81.139999,52.467499
9/1/2014,39,25.764999,16.999001,16.139999,39.799999,33.82,103.300003,59.459999,63.599998,32.080002,45.43,115.940002,18.366667,87.120003,53.352501
10/1/2014,34.720001,25.147499,16.101999,17.07,35.349998,34.139999,105.980003,60.240002,65.879997,32.970001,46.27,117.940002,16.146667,86,53.212502
11/1/2014,41.439999,27.055,15.312,17.18,40.279999,32.110001,107.830002,60.790001,66.050003,34.549999,46.889999,121.300003,16.200001,95.449997,60.244999
12/1/2014,49,29.702499,16.906,16.92,46.549999,30.389999,107.889999,59.98,67.970001,42.240002,47.880001,124.660004,16.077333,98.75,64.067497
1/1/2015,54.279999,27.8475,15.629,17.99,49.919998,29.67,105.050003,62.18,69.769997,42.689999,46.66,126.230003,14.858,101.5,65.845001
2/1/2015,48.580002,29.512501,17.502501,15.27,47.099998,31.35,100.489998,54.529999,71.870003,44.939999,40.59,130.100006,13.598,106.730003,64.077499
3/1/2015,48.200001,32.3125,19.0425,15.79,44.52,33.080002,102.510002,61.279999,70.169998,43.240002,43.669998,135.25,13.513333,113.629997,69.177498
4/1/2015,51.099998,31.205,18.605,15.42,43.669998,32.689999,100.459999,60.41,72.919998,44.07,40.599998,138.330002,12.58,119.519997,65.449997
5/1/2015,48.650002,31.525,21.191,16,44.810001,34.099998,99.620003,63.700001,72.260002,40.830002,48.580002,138.75,15.329333,112.290001,65.220001
6/1/2015,42.610001,32.57,21.52,16.58,43.209999,34.34,100.279999,65.989998,78.919998,37.110001,47.060001,137.800003,16.760668,120.540001,69.129997
7/1/2015,40.650002,31.725,21.967501,17.25,41.75,32.07,98.300003,68.120003,83.800003,33.860001,44.459999,133.720001,18.073999,122.949997,67.940002
8/1/2015,40.240002,30.375,26.872499,17.91,44.68,34.799999,100,68.589996,84.809998,36.66,46.98,132.440002,17.752666,121.610001,75.589996
9/1/2015,38.630001,27.5375,24.957001,15.95,43.950001,30.23,92.290001,62.849998,80.25,36.169998,42.169998,115.580002,16.022667,113.360001,69.410004
10/1/2015,38.5,27.2675,25.549999,15.52,44.709999,30,93.43,61.119999,83.599998,37.82,44.75,118.489998,16.500668,115.940002,70.089996
11/1/2015,46.200001,30.200001,31.356501,16.9,50.900002,33.029999,101.18,64.449997,81.139999,46.470001,52.849998,123.18,13.928,118.639999,75.190002
12/1/2015,41.470001,29.6875,33.6875,17.52,46.810001,33.18,101.730003,67.339996,84.209999,46,54.41,125.75,15.404,113.529999,79.529999
1/1/2016,41.290001,25.6525,32.814499,16.450001,49.419998,30.860001,101.709999,63.950001,83.400002,41.700001,54.32,121.519997,15.381333,116.910004,76.059998
2/1/2016,39,24.1175,28.907499,14.05,44.73,27.620001,103.610001,59.16,78.209999,37.619999,54.880001,120,12.584,114.830002,74.080002
3/1/2016,41.439999,24.4125,27.814501,12.64,48.73,26.040001,105.900002,56.759998,72.629997,42.220001,50.970001,105.300003,12.95,119.489998,72.989998
4/1/2016,40.130001,27.195,29.5245,13.47,47.5,26.34,108,59.02,71.599998,44.400002,55.049999,103.470001,16.322001,128.690002,76.25
5/1/2016,34.990002,23.4925,33.195999,14.58,42.110001,27.1,112.220001,63.689999,75.949997,44.630001,50,102.519997,16.1,132.610001,77.809998
6/1/2016,31.940001,24.754999,36.044998,14.6,43.459999,27.809999,112.690002,64.760002,74.900002,42.48,52.439999,104.239998,14.765333,133.580002,78.690002
7/1/2016,28.26,23.872499,35.866001,13.19,36.41,25.110001,121.300003,61.66,78.889999,39.259998,51.130001,99.580002,13.742667,141.160004,74.5
8/1/2016,35.540001,26.102501,37.9935,14.52,38.919998,27.120001,125.309998,64.150002,83.019997,37.16,56.599998,112.120003,15.7,143.419998,78.309998
